Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,User_Score,Rating
DS,2007,Role-Playing,Nintendo,1.83,1.19,1.54,0.37,4.93,71.0,7.5,
X360,2008,Role-Playing,Bethesda Softworks,3.4,0.99,0.09,0.45,4.93,93.0,8.5,M
PS3,2007,Action,Sony Computer Entertainment,2.31,1.72,0.12,0.77,4.92,88.0,8.1,T
PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,88.0,8.0,E
N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,71.0,7.5,
PSP,2010,Role-Playing,Capcom,0.0,0.0,4.87,0.0,4.87,71.0,7.5,
WiiU,2014,Fighting,Nintendo,2.6,1.08,0.81,0.38,4.87,71.0,7.5,
NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,71.0,7.5,
PC,2010,Strategy,Activision,2.57,1.68,0.0,0.58,4.84,93.0,8.2,T
PS3,2007,Adventure,Ubisoft,1.91,2.0,0.09,0.82,4.82,81.0,7.3,M
PS3,2010,Action,Sony Computer Entertainment,2.74,1.33,0.12,0.61,4.8,92.0,8.7,M
PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,88.0,9.0,E
DS,2007,Action,LucasArts,2.83,1.48,0.0,0.45,4.76,80.0,5.4,E
PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73,62.0,7.7,T
X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,1.27,0.04,0.42,4.73,94.0,8.7,T
PS4,2014,Action,Sony Computer Entertainment,1.88,2.0,0.07,0.77,4.71,71.0,7.5,
PS2,2003,Racing,Vivendi Games,1.73,2.19,0.0,0.79,4.7,71.0,7.5,
PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,98.0,7.7,T
PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,82.0,8.2,T
PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,91.0,8.6,T
